,Date,Approval Index,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove,Retail Price of Gasoline (Dollars per Gallon),Year
0,2017-01-16,+13,41,28,62.0,37,2.467,2017
1,2017-01-09,+7,37,30,58.0,40,2.496,2017
2,2016-12-19,+4,37,33,57.0,42,2.375,2016
3,2016-12-12,+5,36,31,56.0,43,2.347,2016
4,2016-12-05,-1,32,33,54.0,44,2.3209999999999997,2016
5,2016-11-28,+3,35,32,55.0,43,2.2680000000000002,2016
6,2016-11-21,+2,35,33,53.0,45,2.269,2016
7,2016-11-14,+3,35,32,53.0,45,2.298,2016
8,2016-11-07,-1,34,35,52.0,47,2.345,2016
9,2016-10-31,-5,30,35,54.0,44,2.3409999999999997,2016
10,2016-10-24,-3,32,35,52.0,46,2.353,2016
11,2016-10-17,-9,30,39,51.0,48,2.367,2016
12,2016-10-10,-5,32,37,51.0,48,2.381,2016
13,2016-10-03,-5,32,37,52.0,48,2.354,2016
14,2016-09-26,-12,29,41,47.0,52,2.334,2016
15,2016-09-19,-10,31,41,47.0,52,2.333,2016
16,2016-09-12,-9,29,38,51.0,48,2.31,2016
17,2016-09-05,-9,29,38,50.0,49,2.329,2016
18,2016-08-29,-8,31,39,50.0,49,2.3409999999999997,2016
19,2016-08-22,-8,30,38,50.0,49,2.299,2016
20,2016-08-15,-7,31,38,51.0,48,2.256,2016
21,2016-08-08,-11,29,40,48.0,51,2.256,2016
22,2016-08-01,-4,33,37,52.0,46,2.267,2016
23,2016-07-25,-13,29,42,46.0,53,2.289,2016
24,2016-07-18,-10,28,38,48.0,51,2.336,2016
25,2016-07-11,-11,28,39,48.0,51,2.359,2016
26,2016-07-04,-8,29,37,51.0,48,2.396,2016
27,2016-06-27,-8,30,38,50.0,49,2.432,2016
28,2016-06-20,-9,30,39,50.0,49,2.455,2016
29,2016-06-13,-10,28,38,49.0,50,2.499,2016
30,2016-06-06,-6,30,36,52.0,46,2.4819999999999998,2016
31,2016-05-30,-9,29,38,50.0,48,2.44,2016
32,2016-05-23,-11,27,38,50.0,50,2.403,2016
33,2016-05-16,-10,29,39,49.0,50,2.345,2016
34,2016-05-09,-9,30,39,50.0,49,2.325,2016
35,2016-05-02,-9,27,36,51.0,48,2.342,2016
36,2016-04-25,-6,30,36,52.0,47,2.265,2016
37,2016-04-18,-10,28,38,49.0,50,2.24,2016
38,2016-04-11,-6,30,36,52.0,46,2.173,2016
39,2016-04-04,-11,27,38,48.0,51,2.185,2016
40,2016-03-28,-14,25,39,49.0,50,2.169,2016
41,2016-03-21,-5,31,36,52.0,47,2.109,2016
42,2016-03-14,-8,30,38,51.0,49,2.062,2016
43,2016-03-07,-16,25,41,47.0,52,1.943,2016
44,2016-02-29,-7,30,37,50.0,50,1.8869999999999998,2016
45,2016-02-22,-12,27,39,50.0,49,1.837,2016
46,2016-02-15,-13,27,40,47.0,52,1.834,2016
47,2016-02-08,-12,27,39,49.0,50,1.87,2016
48,2016-02-01,-12,28,40,48.0,51,1.932,2016
49,2016-01-25,-10,29,39,49.0,50,1.965,2016
50,2016-01-18,-12,26,38,49.0,50,2.022,2016
51,2016-01-11,-16,25,41,46.0,53,2.104,2016
52,2016-01-04,-14,26,40,48.0,51,2.135,2016
53,2015-12-28,-18,24,42,46.0,53,2.141,2015
54,2015-12-21,-15,25,40,46.0,52,2.133,2015
55,2015-12-14,-19,23,42,46.0,53,2.144,2015
56,2015-12-07,-18,25,43,45.0,54,2.1590000000000003,2015
57,2015-11-30,-12,27,39,50.0,49,2.165,2015
58,2015-11-23,-23,22,45,43.0,56,2.198,2015
59,2015-11-16,-20,22,42,44.0,54,2.281,2015
60,2015-11-09,-15,26,41,45.0,54,2.335,2015
61,2015-11-02,-10,27,37,49.0,49,2.322,2015
62,2015-10-26,-16,25,41,46.0,53,2.326,2015
63,2015-10-19,-18,23,41,46.0,53,2.374,2015
64,2015-10-12,-17,23,40,45.0,55,2.432,2015
65,2015-10-05,-16,25,41,47.0,52,2.415,2015
66,2015-09-28,-15,26,41,47.0,52,2.418,2015
67,2015-09-21,-16,26,42,46.0,52,2.425,2015
68,2015-09-14,-10,27,37,51.0,47,2.471,2015
69,2015-09-07,-19,24,43,45.0,54,2.532,2015
70,2015-08-31,-19,23,42,46.0,53,2.602,2015
71,2015-08-24,-16,24,40,45.0,54,2.7260000000000004,2015
72,2015-08-17,-18,22,40,47.0,51,2.803,2015
73,2015-08-10,-13,26,39,47.0,51,2.72,2015
74,2015-08-03,-16,24,40,46.0,52,2.779,2015
75,2015-07-27,-14,26,40,46.0,53,2.833,2015
76,2015-07-20,-18,24,42,45.0,55,2.888,2015
77,2015-07-13,-14,25,39,48.0,51,2.92,2015
78,2015-07-06,-12,27,39,48.0,52,2.877,2015
79,2015-06-29,-12,26,38,48.0,51,2.885,2015
80,2015-06-22,-18,22,40,47.0,52,2.895,2015
81,2015-06-15,-19,22,41,46.0,52,2.918,2015
82,2015-06-08,-13,25,38,48.0,50,2.863,2015
83,2015-06-01,-16,22,38,48.0,51,2.863,2015
84,2015-05-25,-18,21,39,46.0,52,2.8569999999999998,2015
85,2015-05-18,-16,25,41,46.0,53,2.827,2015
86,2015-05-11,-16,23,39,47.0,52,2.7760000000000002,2015
87,2015-05-04,-16,22,38,47.0,51,2.7489999999999997,2015
88,2015-04-27,-18,21,39,44.0,55,2.656,2015
89,2015-04-20,-16,24,40,46.0,52,2.57,2015
90,2015-04-13,-13,25,38,48.0,50,2.494,2015
91,2015-04-06,-15,25,40,47.0,51,2.499,2015
92,2015-03-30,-15,23,38,48.0,51,2.531,2015
93,2015-03-23,-12,26,38,48.0,50,2.5380000000000003,2015
94,2015-03-16,-11,26,37,48.0,51,2.537,2015
95,2015-03-09,-15,24,39,47.0,51,2.57,2015
96,2015-03-02,-13,23,36,49.0,49,2.556,2015
97,2015-02-23,-14,25,39,49.0,50,2.415,2015
98,2015-02-16,-11,26,37,50.0,48,2.358,2015
99,2015-02-09,-12,26,38,49.0,50,2.276,2015
100,2015-02-02,-9,27,36,51.0,48,2.154,2015
101,2015-01-26,-13,25,38,48.0,51,2.133,2015
102,2015-01-19,-14,24,38,49.0,50,2.157,2015
103,2015-01-12,-11,25,36,49.0,50,2.2319999999999998,2015
104,2015-01-05,-11,25,36,51.0,48,2.3080000000000003,2015
105,2014-12-29,-14,24,38,48.0,51,2.392,2014
106,2014-12-22,-13,25,38,47.0,52,2.496,2014
107,2014-12-15,-18,22,40,48.0,51,2.6430000000000002,2014
108,2014-12-08,-13,24,37,50.0,49,2.767,2014
109,2014-12-01,-16,23,39,48.0,50,2.864,2014
110,2014-11-24,-20,22,42,45.0,53,2.907,2014
111,2014-11-17,-17,22,39,48.0,50,2.978,2014
112,2014-11-10,-15,24,39,48.0,50,3.025,2014
113,2014-11-03,-17,22,39,45.0,53,3.077,2014
114,2014-10-27,-21,20,41,46.0,53,3.139,2014
115,2014-10-20,-17,23,40,46.0,52,3.205,2014
116,2014-10-13,-15,23,38,48.0,50,3.292,2014
117,2014-10-06,-15,24,39,48.0,51,3.3819999999999997,2014
118,2014-09-29,-17,22,39,46.0,52,3.4339999999999997,2014
119,2014-09-22,-20,21,41,47.0,52,3.432,2014
120,2014-09-15,-17,23,40,48.0,51,3.485,2014
121,2014-09-08,-18,22,40,46.0,53,3.534,2014
122,2014-09-01,-19,21,40,46.0,52,3.536,2014
123,2014-08-25,-18,21,39,44.0,54,3.532,2014
124,2014-08-18,-20,21,41,48.0,51,3.549,2014
125,2014-08-11,-18,23,41,45.0,53,3.582,2014
126,2014-08-04,-18,22,40,46.0,53,3.595,2014
127,2014-07-28,-19,22,41,45.0,53,3.617,2014
128,2014-07-21,-17,24,41,47.0,52,3.6710000000000003,2014
129,2014-07-14,-17,24,41,46.0,53,3.7119999999999997,2014
130,2014-07-07,-21,21,42,46.0,53,3.753,2014
131,2014-06-30,-14,24,38,49.0,50,3.778,2014
132,2014-06-23,-17,22,39,48.0,51,3.778,2014
133,2014-06-16,-20,20,40,48.0,50,3.76,2014
134,2014-06-09,-13,25,38,50.0,49,3.7489999999999997,2014
135,2014-06-02,-12,25,37,49.0,50,3.765,2014
136,2014-05-26,-15,25,40,49.0,50,3.75,2014
137,2014-05-19,-14,23,37,48.0,50,3.7430000000000003,2014
138,2014-05-05,-17,22,39,47.0,52,3.761,2014
139,2014-04-28,-18,23,41,47.0,52,3.7880000000000003,2014
140,2014-04-21,-16,25,41,49.0,50,3.758,2014
141,2014-04-14,-15,25,40,47.0,52,3.725,2014
142,2014-04-07,-17,26,43,46.0,53,3.67,2014
143,2014-03-31,-13,25,38,49.0,50,3.6510000000000002,2014
144,2014-03-24,-15,24,39,48.0,50,3.622,2014
145,2014-03-17,-13,25,38,49.0,49,3.6189999999999998,2014
146,2014-03-10,-16,25,41,47.0,51,3.5839999999999996,2014
147,2014-03-03,-16,23,39,47.0,52,3.553,2014
148,2014-02-24,-10,25,35,52.0,47,3.52,2014
149,2014-02-17,-14,25,39,48.0,50,3.457,2014
150,2014-02-10,-14,23,37,48.0,51,3.388,2014
151,2014-02-03,-17,23,40,47.0,51,3.372,2014
152,2014-01-27,-13,24,37,50.0,49,3.375,2014
153,2014-01-20,-16,23,39,49.0,50,3.3760000000000003,2014
154,2014-01-13,-15,25,40,47.0,52,3.406,2014
155,2014-01-06,-15,24,39,48.0,50,3.411,2014
156,2013-12-30,-16,25,41,47.0,51,3.409,2013
157,2013-12-23,-17,25,42,46.0,53,3.3510000000000004,2013
158,2013-12-16,-19,23,42,47.0,52,3.321,2013
159,2013-12-09,-20,24,44,46.0,53,3.35,2013
160,2013-12-02,-22,21,43,45.0,54,3.353,2013
161,2013-11-25,-21,24,45,45.0,53,3.372,2013
162,2013-11-18,-20,22,42,44.0,54,3.298,2013
163,2013-11-11,-21,23,44,46.0,54,3.2739999999999996,2013
164,2013-11-04,-17,25,42,48.0,51,3.343,2013
165,2013-10-28,-18,24,42,48.0,52,3.372,2013
166,2013-10-21,-11,28,39,50.0,49,3.435,2013
167,2013-10-14,-15,28,43,48.0,50,3.43,2013
168,2013-10-07,-15,26,41,48.0,51,3.4410000000000003,2013
169,2013-09-30,-9,29,38,51.0,48,3.4989999999999997,2013
170,2013-09-23,-18,23,41,46.0,51,3.5669999999999997,2013
171,2013-09-16,-17,23,40,47.0,52,3.6189999999999998,2013
172,2013-09-09,-19,22,41,45.0,54,3.658,2013
173,2013-09-02,-11,26,37,49.0,49,3.678,2013
174,2013-08-26,-14,24,38,46.0,52,3.623,2013
175,2013-08-19,-16,24,40,47.0,52,3.622,2013
176,2013-08-12,-16,23,39,47.0,52,3.633,2013
177,2013-08-05,-21,22,43,46.0,53,3.701,2013
178,2013-07-29,-16,25,41,46.0,53,3.716,2013
179,2013-07-22,-17,23,40,47.0,52,3.7510000000000003,2013
180,2013-07-15,-13,25,38,49.0,49,3.7060000000000004,2013
181,2013-07-08,-22,21,43,46.0,53,3.563,2013
182,2013-07-01,-19,23,42,47.0,52,3.5669999999999997,2013
183,2013-06-24,-12,26,38,49.0,49,3.645,2013
184,2013-06-17,-19,21,40,47.0,52,3.6889999999999996,2013
185,2013-06-10,-14,25,39,47.0,51,3.715,2013
186,2013-06-03,-16,24,40,47.0,52,3.705,2013
187,2013-05-27,-13,25,38,49.0,49,3.7039999999999997,2013
188,2013-05-20,-13,26,39,48.0,50,3.7289999999999996,2013
189,2013-05-06,-11,25,36,50.0,48,3.602,2013
190,2013-04-29,-10,27,37,50.0,47,3.5869999999999997,2013
191,2013-04-22,-7,29,36,51.0,48,3.603,2013
192,2013-04-15,-7,28,35,53.0,46,3.611,2013
193,2013-04-08,-12,25,37,50.0,49,3.676,2013
194,2013-04-01,-7,30,37,52.0,46,3.714,2013
195,2013-03-25,-8,29,37,52.0,47,3.7460000000000004,2013
196,2013-03-18,-10,28,38,51.0,47,3.764,2013
197,2013-03-11,-7,30,37,51.0,48,3.779,2013
198,2013-03-04,-9,30,39,51.0,47,3.826,2013
199,2013-02-25,-4,31,35,54.0,45,3.8510000000000004,2013
200,2013-02-18,-3,33,36,54.0,46,3.812,2013
201,2013-02-11,-4,31,35,54.0,45,3.677,2013
202,2013-02-04,0,33,33,55.0,44,3.6039999999999996,2013
203,2013-01-28,-6,29,35,54.0,46,3.427,2013
204,2013-01-21,-5,30,35,55.0,45,3.386,2013
205,2013-01-14,-4,29,33,54.0,44,3.377,2013
206,2013-01-07,-3,31,34,53.0,45,3.373,2013
207,2012-12-31,+1,34,33,57.0,41,3.3689999999999998,2012
208,2012-12-17,+1,34,33,55.0,44,3.324,2012
209,2012-12-10,0,33,33,58.0,41,3.4189999999999996,2012
210,2012-12-03,-4,30,34,56.0,42,3.463,2012
211,2012-11-26,-4,32,36,54.0,45,3.505,2012
212,2012-11-19,-3,33,36,53.0,46,3.497,2012
213,2012-11-12,-3,33,36,54.0,45,3.5180000000000002,2012
214,2012-11-05,-8,36,44,50.0,49,3.563,2012
215,2012-10-29,-12,30,42,49.0,51,3.638,2012
216,2012-10-22,-16,26,42,50.0,49,3.7560000000000002,2012
217,2012-10-15,-11,32,43,49.0,50,3.886,2012
218,2012-10-08,-11,29,40,51.0,49,3.9139999999999997,2012
219,2012-10-01,-12,28,41,49.0,49,3.866,2012
220,2012-09-24,-13,29,42,48.0,50,3.889,2012
221,2012-09-17,-15,28,43,49.0,50,3.9389999999999996,2012
222,2012-09-10,-9,32,41,52.0,47,3.907,2012
223,2012-09-03,-18,25,43,48.0,52,3.903,2012
224,2012-08-27,-12,28,40,50.0,49,3.8369999999999997,2012
225,2012-08-20,-14,25,39,49.0,49,3.803,2012
226,2012-08-13,-21,23,44,45.0,53,3.779,2012
227,2012-08-06,-16,25,41,48.0,50,3.702,2012
228,2012-07-30,-16,26,42,47.0,52,3.568,2012
229,2012-07-23,-14,26,40,49.0,50,3.554,2012
230,2012-07-16,-15,26,41,47.0,52,3.485,2012
231,2012-07-09,-14,27,41,47.0,52,3.469,2012
232,2012-07-02,-19,25,44,46.0,53,3.415,2012
233,2012-06-25,-20,23,43,46.0,52,3.4939999999999998,2012
234,2012-06-18,-18,25,43,46.0,53,3.589,2012
235,2012-06-11,-13,28,41,47.0,52,3.6289999999999996,2012
236,2012-06-04,-16,24,40,47.0,52,3.6710000000000003,2012
237,2012-05-28,-14,26,40,49.0,50,3.728,2012
238,2012-05-21,-13,27,40,50.0,49,3.773,2012
239,2012-05-07,-16,25,41,48.0,52,3.8489999999999998,2012
240,2012-04-30,-14,26,40,47.0,52,3.889,2012
241,2012-04-23,-19,24,43,45.0,54,3.929,2012
242,2012-04-16,-16,24,40,47.0,51,3.98,2012
243,2012-04-09,-17,23,40,49.0,50,3.997,2012
244,2012-04-02,-15,24,39,47.0,52,3.9960000000000004,2012
245,2012-03-26,-13,27,40,49.0,51,3.9730000000000003,2012
246,2012-03-19,-15,26,41,49.0,50,3.923,2012
247,2012-03-12,-16,26,42,47.0,52,3.884,2012
248,2012-03-05,-18,25,43,45.0,54,3.8489999999999998,2012
249,2012-02-27,-16,26,42,45.0,53,3.78,2012
250,2012-02-20,-13,26,39,49.0,48,3.6519999999999997,2012
251,2012-02-13,-13,26,39,50.0,48,3.5839999999999996,2012
252,2012-02-06,-10,27,37,50.0,48,3.542,2012
253,2012-01-30,-14,23,37,51.0,47,3.5,2012
254,2012-01-23,-17,21,38,47.0,52,3.45,2012
255,2012-01-16,-20,21,41,45.0,54,3.451,2012
256,2012-01-09,-19,23,42,44.0,55,3.4410000000000003,2012
257,2011-12-19,-16,23,39,47.0,51,3.29,2011
258,2011-12-12,-19,20,39,46.0,52,3.346,2011
259,2011-12-05,-19,20,39,46.0,53,3.35,2011
260,2011-11-28,-20,21,41,44.0,54,3.3680000000000003,2011
261,2011-11-21,-18,22,40,46.0,52,3.427,2011
262,2011-11-14,-15,23,38,50.0,49,3.495,2011
263,2011-11-07,-16,22,38,47.0,52,3.4819999999999998,2011
264,2011-10-31,-20,22,42,45.0,54,3.511,2011
265,2011-10-24,-21,19,40,45.0,54,3.52,2011
266,2011-10-17,-23,20,43,43.0,55,3.533,2011
267,2011-10-10,-20,21,41,42.0,55,3.4760000000000004,2011
268,2011-10-03,-22,20,42,44.0,54,3.492,2011
269,2011-09-26,-22,22,44,44.0,54,3.568,2011
270,2011-09-19,-20,22,42,45.0,54,3.657,2011
271,2011-09-12,-20,22,42,44.0,55,3.715,2011
272,2011-09-05,-23,20,43,44.0,55,3.727,2011
273,2011-08-29,-19,22,41,45.0,55,3.682,2011
274,2011-08-22,-24,20,44,44.0,55,3.638,2011
275,2011-08-15,-22,20,42,44.0,54,3.662,2011
276,2011-08-08,-18,22,40,46.0,52,3.73,2011
277,2011-08-01,-19,23,42,44.0,55,3.766,2011
278,2011-07-25,-21,23,44,44.0,55,3.7539999999999996,2011
279,2011-07-18,-18,24,42,45.0,54,3.736,2011
280,2011-07-11,-17,21,38,47.0,52,3.695,2011
281,2011-06-27,-14,23,37,49.0,51,3.6310000000000002,2011
282,2011-06-20,-16,23,39,47.0,51,3.708,2011
283,2011-06-13,-18,22,40,47.0,52,3.767,2011
284,2011-06-06,-12,24,36,48.0,51,3.833,2011
285,2011-05-30,-11,23,34,49.0,49,3.8480000000000003,2011
286,2011-05-23,-10,26,36,49.0,50,3.904,2011
287,2011-05-16,-10,25,35,49.0,50,4.013999999999999,2011
288,2011-05-02,-12,25,37,49.0,49,4.013999999999999,2011
289,2011-04-25,-18,22,40,46.0,52,3.932,2011
290,2011-04-18,-17,20,37,47.0,52,3.8960000000000004,2011
291,2011-04-11,-20,19,39,44.0,55,3.843,2011
292,2011-04-04,-14,26,40,48.0,51,3.737,2011
293,2011-03-28,-12,26,38,47.0,52,3.65,2011
294,2011-03-21,-14,26,40,46.0,54,3.617,2011
295,2011-03-14,-20,23,43,44.0,56,3.6210000000000004,2011
296,2011-03-07,-11,27,38,48.0,52,3.572,2011
297,2011-02-28,-10,28,38,49.0,50,3.435,2011
298,2011-02-21,-18,23,41,44.0,55,3.2430000000000003,2011
299,2011-02-14,-10,29,39,48.0,52,3.193,2011
300,2011-02-07,-10,27,37,49.0,50,3.185,2011
301,2011-01-31,-8,30,38,50.0,49,3.155,2011
302,2011-01-24,-4,31,35,52.0,47,3.1630000000000003,2011
303,2011-01-17,-11,27,38,46.0,53,3.158,2011
304,2011-01-10,-13,26,39,48.0,51,3.142,2011
305,2011-01-03,-13,26,39,47.0,52,3.1239999999999997,2011
306,2010-12-27,-10,29,39,48.0,51,3.1060000000000003,2010
307,2010-12-20,-14,23,37,49.0,50,3.037,2010
308,2010-12-13,-17,24,41,44.0,55,3.035,2010
309,2010-12-06,-13,28,41,47.0,53,3.013,2010
310,2010-11-29,-16,27,43,47.0,52,2.912,2010
311,2010-11-22,-14,27,41,46.0,52,2.931,2010
312,2010-11-15,-13,28,41,46.0,53,2.944,2010
313,2010-11-08,-16,28,44,47.0,53,2.917,2010
314,2010-11-01,-11,31,42,50.0,49,2.861,2010
315,2010-10-25,-15,29,44,47.0,53,2.87,2010
316,2010-10-18,-13,28,41,49.0,50,2.887,2010
317,2010-10-11,-13,29,42,48.0,51,2.8710000000000004,2010
318,2010-10-04,-13,29,42,48.0,51,2.784,2010
319,2010-09-27,-14,27,41,48.0,51,2.747,2010
320,2010-09-20,-19,26,45,44.0,56,2.775,2010
321,2010-09-13,-13,29,42,46.0,53,2.772,2010
322,2010-09-06,-20,26,46,45.0,54,2.735,2010
323,2010-08-30,-12,28,40,46.0,52,2.736,2010
324,2010-08-23,-14,27,41,47.0,52,2.759,2010
325,2010-08-16,-19,26,45,43.0,56,2.798,2010
326,2010-08-09,-15,28,43,46.0,52,2.835,2010
327,2010-08-02,-17,26,43,45.0,54,2.7880000000000003,2010
328,2010-07-26,-19,25,44,45.0,55,2.801,2010
329,2010-07-19,-15,28,43,47.0,52,2.775,2010
330,2010-07-12,-13,26,39,49.0,50,2.7710000000000004,2010
331,2010-06-28,-9,28,37,49.0,50,2.8089999999999997,2010
332,2010-06-21,-15,29,44,45.0,55,2.795,2010
333,2010-06-14,-18,24,42,45.0,55,2.7560000000000002,2010
334,2010-06-07,-17,25,42,46.0,53,2.78,2010
335,2010-05-31,-13,27,40,46.0,54,2.784,2010
336,2010-05-24,-18,25,43,44.0,55,2.842,2010
337,2010-05-17,-13,27,40,46.0,53,2.918,2010
338,2010-05-03,-11,28,39,48.0,51,2.95,2010
339,2010-04-26,-12,29,41,47.0,52,2.9010000000000002,2010
340,2010-04-19,-11,29,40,48.0,51,2.911,2010
341,2010-04-12,-11,31,42,48.0,51,2.909,2010
342,2010-04-05,-7,34,41,49.0,51,2.877,2010
343,2010-03-29,-14,30,44,47.0,52,2.8510000000000004,2010
344,2010-03-22,-12,29,41,47.0,53,2.87,2010
345,2010-03-15,-16,26,42,45.0,54,2.841,2010
346,2010-03-08,-19,22,41,46.0,54,2.804,2010
347,2010-03-01,-12,26,38,47.0,52,2.7560000000000002,2010
348,2010-02-22,-19,22,41,45.0,54,2.7089999999999996,2010
349,2010-02-15,-17,24,41,47.0,52,2.6639999999999997,2010
350,2010-02-08,-15,26,41,46.0,54,2.707,2010
351,2010-02-01,-4,35,39,49.0,50,2.717,2010
352,2010-01-25,-16,25,41,47.0,53,2.76,2010
353,2010-01-18,-12,27,39,47.0,52,2.793,2010
354,2010-01-11,-15,26,41,46.0,52,2.804,2010
355,2010-01-04,-15,26,41,47.0,52,2.718,2010
356,2009-12-28,-12,28,40,47.0,52,2.662,2009
357,2009-12-21,-17,26,43,46.0,53,2.645,2009
358,2009-12-14,-18,24,42,44.0,55,2.655,2009
359,2009-12-07,-11,27,38,49.0,50,2.6889999999999996,2009
360,2009-11-30,-14,26,40,47.0,52,2.6839999999999997,2009
361,2009-11-23,-13,28,41,46.0,53,2.694,2009
362,2009-11-16,-10,28,38,50.0,49,2.6839999999999997,2009
363,2009-11-09,-8,32,40,49.0,50,2.72,2009
364,2009-11-02,-13,27,40,46.0,52,2.7460000000000004,2009
365,2009-10-26,-12,29,41,47.0,52,2.727,2009
366,2009-10-19,-10,30,40,49.0,50,2.6260000000000003,2009
367,2009-10-12,-8,32,40,49.0,51,2.543,2009
368,2009-10-05,-6,31,37,52.0,48,2.523,2009
369,2009-09-28,-9,30,39,49.0,51,2.5540000000000003,2009
370,2009-09-21,-8,30,38,49.0,50,2.6069999999999998,2009
371,2009-09-14,-3,34,37,52.0,48,2.6319999999999997,2009
372,2009-09-07,-13,28,41,48.0,51,2.642,2009
373,2009-08-31,-11,30,41,46.0,53,2.667,2009
374,2009-08-24,-12,28,40,49.0,50,2.682,2009
375,2009-08-17,-7,33,40,49.0,50,2.6910000000000003,2009
376,2009-08-10,-9,30,39,49.0,51,2.7,2009
377,2009-08-03,-6,30,36,51.0,48,2.61,2009
378,2009-07-27,-10,30,40,49.0,50,2.557,2009
379,2009-07-20,-7,30,37,50.0,49,2.519,2009
380,2009-07-13,-8,28,36,53.0,46,2.5839999999999996,2009
381,2009-07-06,-2,33,35,53.0,46,2.6660000000000004,2009
382,2009-06-29,+1,33,32,55.0,44,2.695,2009
383,2009-06-22,-1,33,34,54.0,45,2.7430000000000003,2009
384,2009-06-15,+3,35,32,55.0,44,2.722,2009
385,2009-06-08,+7,36,29,56.0,43,2.673,2009
386,2009-06-01,+7,35,28,58.0,41,2.572,2009
387,2009-05-25,+3,33,30,56.0,43,2.485,2009
388,2009-05-18,+5,35,30,57.0,42,2.36,2009
389,2009-05-04,+5,35,30,57.0,43,2.129,2009
390,2009-04-27,+5,35,30,55.0,44,2.102,2009
391,2009-04-20,+3,33,30,55.0,45,2.112,2009
392,2009-04-13,+2,34,32,55.0,44,2.104,2009
393,2009-04-06,+8,36,28,58.0,41,2.09,2009
394,2009-03-30,+8,38,30,58.0,40,2.097,2009
395,2009-03-23,+5,36,31,56.0,42,2.0140000000000002,2009
396,2009-03-16,+4,36,32,56.0,43,1.964,2009
397,2009-03-09,+6,38,32,56.0,43,1.993,2009
398,2009-03-02,+10,39,29,58.0,41,1.9880000000000002,2009
399,2009-02-23,+11,38,27,58.0,40,1.963,2009
400,2009-02-16,+10,36,26,60.0,39,2.016,2009
401,2009-02-09,+14,38,24,60.0,38,1.9780000000000002,2009
402,2009-02-02,+17,41,24,60.0,38,1.944,2009
403,2009-01-26,+21,41,20,60.0,37,1.89,2009
404,2009-01-19,+26,43,17,67.0,31,1.8980000000000001,2009
405,2009-01-12,+28,42,14,67.0,30,1.835,2009
406,2009-01-05,+28,42,14,69.0,28,1.7369999999999999,2009
407,2008-12-22,+28,43,15,68.0,29,1.71,2008
408,2008-12-15,+27,43,16,65.0,32,1.716,2008
409,2008-12-08,+27,44,17,68.0,30,1.758,2008
410,2008-12-01,+24,41,17,64.0,33,1.87,2008
411,2008-11-24,+21,41,20,59.0,37,1.952,2008
412,2008-11-17,+20,42,22,61.0,37,2.1319999999999997,2008
413,2008-11-10,+17,42,25,58.0,38,2.2840000000000003,2008
